,Image,Accuracy,F1,Jaccard,Recall,Precision
805,new_data\test\image\volume-8_slice_448_0,0.8952789306640625,0.8952789306640625,0.8104117460185915,0.8952789306640625,0.8952789306640625
806,new_data\test\image\volume-8_slice_452_0,0.9957199096679688,0.9957199096679688,0.9914763015353293,0.9957199096679688,0.9957199096679688
807,new_data\test\image\volume-8_slice_459_0,0.9970855712890625,0.9970855712890625,0.9941880810017192,0.9970855712890625,0.9970855712890625
808,new_data\test\image\volume-8_slice_463_0,0.99713134765625,0.99713134765625,0.9942791065668554,0.99713134765625,0.99713134765625
809,new_data\test\image\volume-8_slice_473_0,0.9934501647949219,0.993702244565062,0.9874833161439058,0.9939544522939877,0.9934501647949219
810,new_data\test\image\volume-8_slice_487_0,0.9976654052734375,0.9978500203170219,0.9957092656257733,0.9980347036981916,0.9976654052734375
811,new_data\test\image\volume-8_slice_516_0,1.0,1.0,1.0,1.0,1.0
812,new_data\test\image\volume-8_slice_51_0,0.9711990356445312,0.9711990356445312,0.9440106194427759,0.9711990356445312,0.9711990356445312
813,new_data\test\image\volume-8_slice_52_0,0.974273681640625,0.974273681640625,0.9498378507036387,0.974273681640625,0.974273681640625
814,new_data\test\image\volume-8_slice_53_0,0.9778327941894531,0.9778327941894531,0.9566270455860125,0.9778327941894531,0.9778327941894531
815,new_data\test\image\volume-8_slice_54_0,0.9873542785644531,0.9873542785644531,0.9750243917139747,0.9873542785644531,0.9873542785644531
816,new_data\test\image\volume-8_slice_64_0,1.0,1.0,1.0,1.0,1.0
817,new_data\test\image\volume-8_slice_74_0,1.0,1.0,1.0,1.0,1.0
818,new_data\test\image\volume-90_slice_103_0,1.0,1.0,1.0,1.0,1.0
819,new_data\test\image\volume-90_slice_112_0,1.0,1.0,1.0,1.0,1.0
820,new_data\test\image\volume-90_slice_119_0,1.0,1.0,1.0,1.0,1.0
821,new_data\test\image\volume-90_slice_125_0,1.0,1.0,1.0,1.0,1.0
822,new_data\test\image\volume-90_slice_126_0,1.0,1.0,1.0,1.0,1.0
823,new_data\test\image\volume-90_slice_133_0,1.0,1.0,1.0,1.0,1.0
824,new_data\test\image\volume-90_slice_135_0,1.0,1.0,1.0,1.0,1.0
825,new_data\test\image\volume-90_slice_137_0,1.0,1.0,1.0,1.0,1.0
826,new_data\test\image\volume-90_slice_14_0,1.0,1.0,1.0,1.0,1.0
827,new_data\test\image\volume-90_slice_162_0,1.0,1.0,1.0,1.0,1.0
828,new_data\test\image\volume-90_slice_176_0,1.0,1.0,1.0,1.0,1.0
829,new_data\test\image\volume-90_slice_1_0,1.0,1.0,1.0,1.0,1.0
830,new_data\test\image\volume-90_slice_207_0,1.0,1.0,1.0,1.0,1.0
831,new_data\test\image\volume-90_slice_20_0,1.0,1.0,1.0,1.0,1.0
832,new_data\test\image\volume-90_slice_247_0,1.0,1.0,1.0,1.0,1.0
833,new_data\test\image\volume-90_slice_251_0,1.0,1.0,1.0,1.0,1.0
834,new_data\test\image\volume-90_slice_252_0,1.0,1.0,1.0,1.0,1.0
835,new_data\test\image\volume-90_slice_257_0,1.0,1.0,1.0,1.0,1.0
836,new_data\test\image\volume-90_slice_260_0,1.0,1.0,1.0,1.0,1.0
837,new_data\test\image\volume-90_slice_267_0,1.0,1.0,1.0,1.0,1.0
838,new_data\test\image\volume-90_slice_273_0,1.0,1.0,1.0,1.0,1.0
839,new_data\test\image\volume-90_slice_279_0,1.0,1.0,1.0,1.0,1.0
840,new_data\test\image\volume-90_slice_282_0,1.0,1.0,1.0,1.0,1.0
841,new_data\test\image\volume-90_slice_284_0,1.0,1.0,1.0,1.0,1.0
842,new_data\test\image\volume-90_slice_291_0,1.0,1.0,1.0,1.0,1.0
843,new_data\test\image\volume-90_slice_296_0,1.0,1.0,1.0,1.0,1.0
844,new_data\test\image\volume-90_slice_29_0,0.9953269958496094,0.9953269958496094,0.990697462495586,0.9953269958496094,0.9953269958496094
845,new_data\test\image\volume-90_slice_2_0,1.0,1.0,1.0,1.0,1.0
846,new_data\test\image\volume-90_slice_300_0,0.9998092651367188,0.9998092651367188,0.9996186030191385,0.9998092651367188,0.9998092651367188
847,new_data\test\image\volume-90_slice_304_0,0.9996871948242188,0.9996871948242188,0.9993745852813984,0.9996871948242188,0.9996871948242188
848,new_data\test\image\volume-90_slice_30_0,0.9961166381835938,0.9961166381835938,0.9922633206921972,0.9961166381835938,0.9961166381835938
849,new_data\test\image\volume-90_slice_312_0,0.9992027282714844,0.9993285287530855,0.9986579586483508,0.9994543609154527,0.9992027282714844
850,new_data\test\image\volume-90_slice_325_0,0.9974212646484375,0.9985087365886538,0.9970219142875664,0.9995985824224978,0.9974212646484375
851,new_data\test\image\volume-90_slice_329_0,0.9964408874511719,0.9976244400056525,0.9952601398334953,0.9988108075037664,0.9964408874511719
852,new_data\test\image\volume-90_slice_330_0,0.9967727661132812,0.9980310411800767,0.996069820721308,0.9992924970265753,0.9967727661132812
853,new_data\test\image\volume-90_slice_338_0,0.9727706909179688,0.9727706909179688,0.9469849451504371,0.9727706909179688,0.9727706909179688
