,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
138,volume-81_slice_230_0,0.9632759094238281,0.9632759094238281,0.9291535888670976,0.9632759094238281,0.9632759094238281,"[[0.53044437 0.016337  ]
 [0.46955563 0.983663  ]]"
139,volume-81_slice_242_0,0.9412155151367188,0.9421481607349804,0.8906239283845001,0.9430826564739608,0.9412155151367188,"[[0.61238017 0.0321116 ]
 [0.38761983 0.9678884 ]]"
140,volume-81_slice_243_0,0.9400291442871094,0.9409588178017069,0.8885006868651906,0.9418903320006421,0.9400291442871094,"[[0.62875076 0.03474861]
 [0.37124924 0.96525139]]"
141,volume-81_slice_247_0,0.9401283264160156,0.9410383347238634,0.8886424934735263,0.9419501064451893,0.9401283264160156,"[[0.70209974 0.0367539 ]
 [0.29790026 0.9632461 ]]"
142,volume-81_slice_273_0,0.9471092224121094,0.9471092224121094,0.8995322616291498,0.9471092224121094,0.9471092224121094,"[[0.76700618 0.0171613 ]
 [0.23299382 0.9828387 ]]"
143,volume-81_slice_280_0,0.9559288024902344,0.9559288024902344,0.9155781758660124,0.9559288024902344,0.9559288024902344,"[[0.80269178 0.01558881]
 [0.19730822 0.98441119]]"
144,volume-81_slice_283_0,0.9645156860351562,0.9645156860351562,0.9314633481429088,0.9645156860351562,0.9645156860351562,"[[0.82330928 0.00919034]
 [0.17669072 0.99080966]]"
145,volume-81_slice_284_0,0.9672279357910156,0.9672279357910156,0.9365357268177369,0.9672279357910156,0.9672279357910156,"[[0.83395789 0.00837613]
 [0.16604211 0.99162387]]"
146,volume-81_slice_296_0,0.9846954345703125,0.9846954345703125,0.9698522670914802,0.9846954345703125,0.9846954345703125,"[[0.93883399 0.00999051]
 [0.06116601 0.99000949]]"
147,volume-81_slice_316_0,0.9648933410644531,0.9648933410644531,0.9321680357623264,0.9648933410644531,0.9648933410644531,"[[4.01687259e-01 7.93233235e-04]
 [5.98312741e-01 9.99206767e-01]]"
148,volume-81_slice_320_0,0.9586715698242188,0.9586715698242188,0.9206236400002931,0.9586715698242188,0.9586715698242188,"[[0.13628073 0.00355104]
 [0.86371927 0.99644896]]"
