,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
795,volume-8_slice_379_0,0.9961471557617188,0.9974027362937047,0.994818929194572,0.9986614859800217,0.9961471557617188,"[[9.70415619e-01 4.06897505e-04]
 [2.95843814e-02 9.99593102e-01]]"
796,volume-8_slice_384_0,0.9959373474121094,0.9969946461167162,0.9940073024104046,0.9980541920883221,0.9959373474121094,"[[0.98863636 0.00157365]
 [0.01136364 0.99842635]]"
797,volume-8_slice_387_0,0.9965095520019531,0.9973465585436997,0.9947071613249613,0.9981849723351572,0.9965095520019531,"[[0.98787879 0.00136047]
 [0.01212121 0.99863953]]"
798,volume-8_slice_38_0,0.9794082641601562,0.980644619165933,0.9620242729905838,0.9818840995399318,0.9794082641601562,"[[0.9863963  0.01818415]
 [0.0136037  0.98181585]]"
799,volume-8_slice_394_0,0.9975738525390625,0.9979126519242144,0.995833999741053,0.9982516815159219,0.9975738525390625,"[[0.99618815 0.00163955]
 [0.00381185 0.99836045]]"
800,volume-8_slice_3_0,0.9999351501464844,0.9999351501464844,0.9998703087034303,0.9999351501464844,0.9999351501464844,"[[0. 0.]
 [1. 1.]]"
801,volume-8_slice_409_0,0.9969825744628906,0.9972165253307641,0.9944485031124911,0.9974505860217311,0.9969825744628906,"[[0.98846006 0.00198033]
 [0.01153994 0.99801967]]"
802,volume-8_slice_414_0,0.9947509765625,0.9954458869831769,0.990933065809374,0.9961417689798227,0.9947509765625,"[[0.98665377 0.00326068]
 [0.01334623 0.99673932]]"
803,volume-8_slice_435_0,0.9960708618164062,0.9960708618164062,0.9921724790442825,0.9960708618164062,0.9960708618164062,"[[0.98558707 0.00309002]
 [0.01441293 0.99690998]]"
804,volume-8_slice_447_0,0.9945449829101562,0.9945449829101562,0.9891491573523944,0.9945449829101562,0.9945449829101562,"[[0.97805883 0.0035278 ]
 [0.02194117 0.9964722 ]]"
805,volume-8_slice_448_0,0.8952102661132812,0.8952102661132812,0.8102992258661529,0.8952102661132812,0.8952102661132812,"[[0. 0.]
 [1. 1.]]"
806,volume-8_slice_452_0,0.9948768615722656,0.9948768615722656,0.98980594868058,0.9948768615722656,0.9948768615722656,"[[0.98406098 0.00378509]
 [0.01593902 0.99621491]]"
807,volume-8_slice_459_0,0.9962577819824219,0.9962577819824219,0.9925434679334917,0.9962577819824219,0.9962577819824219,"[[0.99612102 0.00372392]
 [0.00387898 0.99627608]]"
808,volume-8_slice_463_0,0.99578857421875,0.99578857421875,0.991612471889625,0.99578857421875,0.99578857421875,"[[0.98506943 0.0027415 ]
 [0.01493057 0.9972585 ]]"
809,volume-8_slice_473_0,0.991943359375,0.9921950568057158,0.9845110043426737,0.9924468820011374,0.991943359375,"[[0.97570225 0.0054045 ]
 [0.02429775 0.9945955 ]]"
810,volume-8_slice_487_0,0.9963302612304688,0.996514629209582,0.9930534696531298,0.9966990654348266,0.9963302612304688,"[[0.97011597 0.00134775]
 [0.02988403 0.99865225]]"
811,volume-8_slice_516_0,0.9991722106933594,0.9991722106933594,0.9983457907234689,0.9991722106933594,0.9991722106933594,"[[0. 0.]
 [1. 1.]]"
812,volume-8_slice_51_0,0.9975204467773438,0.9975204467773438,0.995053159508969,0.9975204467773438,0.9975204467773438,"[[0. 0.]
 [1. 1.]]"
813,volume-8_slice_52_0,0.9998359680175781,0.9998359680175781,0.9996719898393132,0.9998359680175781,0.9998359680175781,"[[0. 0.]
 [1. 1.]]"
814,volume-8_slice_53_0,0.9999542236328125,0.9999542236328125,0.9999084514563847,0.9999542236328125,0.9999542236328125,"[[0. 0.]
 [1. 1.]]"
815,volume-8_slice_54_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
816,volume-8_slice_64_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
817,volume-8_slice_74_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
818,volume-90_slice_103_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
819,volume-90_slice_112_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
820,volume-90_slice_119_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
821,volume-90_slice_125_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
822,volume-90_slice_126_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
823,volume-90_slice_133_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
824,volume-90_slice_135_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
825,volume-90_slice_137_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
826,volume-90_slice_14_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
827,volume-90_slice_162_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
828,volume-90_slice_176_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
829,volume-90_slice_1_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
830,volume-90_slice_207_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
831,volume-90_slice_20_0,0.9998893737792969,0.9998893737792969,0.9997787720322078,0.9998893737792969,0.9998893737792969,"[[0. 0.]
 [1. 1.]]"
832,volume-90_slice_247_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
833,volume-90_slice_251_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
834,volume-90_slice_252_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
835,volume-90_slice_257_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
836,volume-90_slice_260_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
837,volume-90_slice_267_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
838,volume-90_slice_273_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
839,volume-90_slice_279_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
840,volume-90_slice_282_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
841,volume-90_slice_284_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
842,volume-90_slice_291_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
843,volume-90_slice_296_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
844,volume-90_slice_29_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
845,volume-90_slice_2_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
846,volume-90_slice_300_0,0.9993515014648438,0.9993515014648438,0.9987038434852886,0.9993515014648438,0.9993515014648438,"[[0.00000000e+00 6.48498535e-04]
 [0.00000000e+00 9.99351501e-01]]"
847,volume-90_slice_304_0,0.9996490478515625,0.9996490478515625,0.9992983419515246,0.9996490478515625,0.9996490478515625,"[[9.55074875e-01 2.48525099e-04]
 [4.49251248e-02 9.99751475e-01]]"
848,volume-90_slice_30_0,0.9996604919433594,0.9996604919433594,0.999321214339919,0.9996604919433594,0.9996604919433594,"[[0.00000000e+00 3.39508057e-04]
 [0.00000000e+00 9.99660492e-01]]"
849,volume-90_slice_312_0,0.9992485046386719,0.9993743108835569,0.998749404251263,0.9995001488106594,0.9992485046386719,"[[9.85953177e-01 4.22130377e-04]
 [1.40468227e-02 9.99577870e-01]]"
850,volume-90_slice_325_0,0.9967842102050781,0.9978709875753509,0.9957510212791902,0.9989601373230418,0.9967842102050781,"[[9.74540311e-01 7.72961796e-04]
 [2.54596888e-02 9.99227038e-01]]"
851,volume-90_slice_329_0,0.9965476989746094,0.9977313783976809,0.9954730267845915,0.9989178730661282,0.9965476989746094,"[[9.68102508e-01 6.43775160e-04]
 [3.18974918e-02 9.99356225e-01]]"
852,volume-90_slice_330_0,0.9953689575195312,0.9966254604900053,0.9932736194170471,0.9978851397605198,0.9953689575195312,"[[0.98309859 0.00189069]
 [0.01690141 0.99810931]]"
